review_id,status,name,code,review_type,target,issue,comparison,first_detected,last_detected,resolved_at,operator_memo,event_id
439960-데이터확인,미해결,코스모로보틱스,439960,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%BD%94%EC%8A%A4%EB%AA%A8%EB%A1%9C%EB%B3%B4%ED%8B%B1%EC%8A%A4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0af395fd0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:24:45,2026-08-21 12:54:46,,다음 배치에서 자동 재시도됨,
0011T0-데이터확인,미해결,채비,0011T0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%B1%84%EB%B9%84 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0af4542f0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:24:14,2026-08-21 12:54:16,,다음 배치에서 자동 재시도됨,
0007J0-데이터확인,미해결,인벤테라,0007J0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%9D%B8%EB%B2%A4%ED%85%8C%EB%9D%BC (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09e1b1fd0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-07-10 15:32:31,2026-08-21 12:53:45,,다음 배치에서 자동 재시도됨,
394420-데이터확인,미해결,리센스메디컬,394420,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%A6%AC%EC%84%BC%EC%8A%A4%EB%A9%94%EB%94%94%EC%BB%AC (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0a8074410>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:23:14,2026-08-21 12:53:15,,다음 배치에서 자동 재시도됨,
0088M0-데이터확인,미해결,메쥬,0088M0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%A9%94%EC%A5%AC (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09da7e1e0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:22:44,2026-08-21 12:52:45,,다음 배치에서 자동 재시도됨,
408470-데이터확인,미해결,한패스,408470,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%ED%95%9C%ED%8C%A8%EC%8A%A4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09dac4770>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:22:14,2026-08-21 12:52:14,,다음 배치에서 자동 재시도됨,
0082N0-데이터확인,미해결,카나프테라퓨틱스,0082N0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%B9%B4%EB%82%98%ED%94%84%ED%85%8C%EB%9D%BC%ED%93%A8%ED%8B%B1%EC%8A%A4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0aed6da90>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:21:13,2026-08-21 12:51:13,,다음 배치에서 자동 재시도됨,
0011A0-데이터확인,미해결,액스비스,0011A0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%95%A1%EC%8A%A4%EB%B9%84%EC%8A%A4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d77a990>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:20:43,2026-08-21 12:50:43,,다음 배치에서 자동 재시도됨,
279570-데이터확인,미해결,케이뱅크,279570,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%BC%80%EC%9D%B4%EB%B1%85%ED%81%AC (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d7e7290>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:19:43,2026-08-21 12:49:42,,다음 배치에서 자동 재시도됨,
0001A0-데이터확인,미해결,덕양에너젠,0001A0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%8D%95%EC%96%91%EC%97%90%EB%84%88%EC%A0%A0 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0af1dc110>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:19:13,2026-08-21 12:49:12,,다음 배치에서 자동 재시도됨,
